0 0.7616989016532898 tensor(0.8110, device='cuda:0')
1 0.7615038156509399 tensor(0.6950, device='cuda:0')
2 0.7610857486724854 tensor(0.6160, device='cuda:0')
3 0.7605131268501282 tensor(0.5410, device='cuda:0')
4 0.7598288059234619 tensor(0.4800, device='cuda:0')
5 0.7590577006340027 tensor(0.4250, device='cuda:0')
6 0.7582288980484009 tensor(0.3890, device='cuda:0')
7 0.7573550939559937 tensor(0.3560, device='cuda:0')
8 0.7564441561698914 tensor(0.3260, device='cuda:0')
9 0.7555052042007446 tensor(0.2910, device='cuda:0')
10 0.7545408606529236 tensor(0.2670, device='cuda:0')
11 0.7535519003868103 tensor(0.2420, device='cuda:0')
12 0.7525472044944763 tensor(0.2310, device='cuda:0')
13 0.7515319585800171 tensor(0.2110, device='cuda:0')
14 0.7505082488059998 tensor(0.1840, device='cuda:0')
15 0.7494843602180481 tensor(0.1670, device='cuda:0')
16 0.7484649419784546 tensor(0.1510, device='cuda:0')
17 0.7474488615989685 tensor(0.1350, device='cuda:0')
18 0.7464317083358765 tensor(0.1210, device='cuda:0')
19 0.7454159259796143 tensor(0.1060, device='cuda:0')
20 0.7444024682044983 tensor(0.0910, device='cuda:0')
21 0.7433955073356628 tensor(0.0770, device='cuda:0')
22 0.7423938512802124 tensor(0.0680, device='cuda:0')
23 0.7414008975028992 tensor(0.0590, device='cuda:0')
24 0.7404170632362366 tensor(0.0500, device='cuda:0')
25 0.7394384741783142 tensor(0.0430, device='cuda:0')
26 0.7384672164916992 tensor(0.0360, device='cuda:0')
27 0.737502932548523 tensor(0.0300, device='cuda:0')
28 0.7365469336509705 tensor(0.0230, device='cuda:0')
29 0.7355992197990417 tensor(0.0210, device='cuda:0')



0 0.7616991400718689 tensor(0.8000, device='cuda:0')
1 0.7615006566047668 tensor(0.7060, device='cuda:0')
2 0.7611256241798401 tensor(0.6280, device='cuda:0')
3 0.7606238126754761 tensor(0.5660, device='cuda:0')
4 0.7600317001342773 tensor(0.5040, device='cuda:0')
5 0.7593663334846497 tensor(0.4470, device='cuda:0')
6 0.7586484551429749 tensor(0.4200, device='cuda:0')
7 0.7578864097595215 tensor(0.3890, device='cuda:0')
8 0.7570920586585999 tensor(0.3530, device='cuda:0')
9 0.7562728524208069 tensor(0.3350, device='cuda:0')
10 0.7554355263710022 tensor(0.3030, device='cuda:0')
11 0.7545838952064514 tensor(0.2870, device='cuda:0')
12 0.753719687461853 tensor(0.2620, device='cuda:0')
13 0.752849280834198 tensor(0.2360, device='cuda:0')
14 0.7519766688346863 tensor(0.2230, device='cuda:0')
15 0.7510989308357239 tensor(0.1990, device='cuda:0')
16 0.7502182722091675 tensor(0.1800, device='cuda:0')
17 0.7493401765823364 tensor(0.1630, device='cuda:0')
18 0.7484644651412964 tensor(0.1470, device='cuda:0')
19 0.7475916147232056 tensor(0.1350, device='cuda:0')
20 0.7467239499092102 tensor(0.1100, device='cuda:0')
21 0.7458615899085999 tensor(0.1020, device='cuda:0')
22 0.7450024485588074 tensor(0.0900, device='cuda:0')
23 0.7441494464874268 tensor(0.0820, device='cuda:0')
24 0.743301510810852 tensor(0.0710, device='cuda:0')
25 0.7424570918083191 tensor(0.0630, device='cuda:0')
26 0.7416172623634338 tensor(0.0550, device='cuda:0')
27 0.740789532661438 tensor(0.0490, device='cuda:0')
28 0.7399726510047913 tensor(0.0460, device='cuda:0')
